GERI_ID;GERI_BESCHREIBUNG;GERI_NAME;GERI_VEGETARISCH_KNZ;GERI_ZUTATEN;BEMERKUNG;GERI_PREIS;GERI_TAEGLICH_KNZ;GERI_TATY_ID
288;Keine Beschreibung vorhanden;Schaschlikspieá mit Reis und Salatteller;N;Keine Zutaten vorhanden;;5;N;
289;Keine Beschreibung vorhanden;Sprossensuppe;J;Keine Zutaten vorhanden;;1;N;
290;Keine Beschreibung vorhanden;Berner R”sti mit Brokkoli berbacken, Currydip und Salatteller;J;Keine Zutaten vorhanden;;4;N;
291;Keine Beschreibung vorhanden;Zuckerschotensuppe;J;Keine Zutaten vorhanden;;1;N;
292;Keine Beschreibung vorhanden;Sákartoffeln mit Gemsefllung und Salatteller;J;Keine Zutaten vorhanden;;4;N;
293;Keine Beschreibung vorhanden;Schweinebraten mit Bayrisch Kraut und Semmelkn”del;N;Keine Zutaten vorhanden;;5;N;
294;Keine Beschreibung vorhanden;Selleriesuppe;J;Keine Zutaten vorhanden;;1;N;
295;Keine Beschreibung vorhanden;Pizza mit Thunfisch und Salami, Salatteller;N;Keine Zutaten vorhanden;;5;N;
296;Keine Beschreibung vorhanden;Lachsstcke in weiáer Soáe mit Bandnulden und Salatteller;N;Keine Zutaten vorhanden;;5;N;
297;Keine Beschreibung vorhanden;Maissuppe;J;Keine Zutaten vorhanden;;1;N;
298;Keine Beschreibung vorhanden;Ravioli in Tomatensoáe mit Salatteller;J;Keine Zutaten vorhanden;;4;N;
299;Keine Beschreibung vorhanden;H„hnchenfleisch im Gemsebett mit Paprikasoáe, Reis und Salatteller;N;Keine Zutaten vorhanden;;5;N;
300;Keine Beschreibung vorhanden;Lauchragout mit Pilzen, Risottoreis und Salatteller;J;Keine Zutaten vorhanden;;4;N;
301;Keine Beschreibung vorhanden;Asia-Pfanne mit Nssen und Gemse, Basmatireis und Salatteller;J;Keine Zutaten vorhanden;;4;N;
302;Keine Beschreibung vorhanden;Frhlingseintopf mit buntem Gemse, Fleischkl”áen und ger„uchertem Speck;N;Keine Zutaten vorhanden;;5;N;
303;Keine Beschreibung vorhanden;Blumenkohl-K„sesuppe;J;Keine Zutaten vorhanden;;1;N;
304;Keine Beschreibung vorhanden;Gemseauflauf mit Risoleekartoffeln und Salatteller;J;Keine Zutaten vorhanden;;4;N;
305;Keine Beschreibung vorhanden;Rinderschmorbraten in Schalottensoáe, Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
306;Keine Beschreibung vorhanden;Pizza mit Thunfisch und Garnelen, Salatteller;N;Keine Zutaten vorhanden;;5;N;
307;Keine Beschreibung vorhanden;Fischpfanne mit Zuchini und Tomaten, Bandnudeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
308;Keine Beschreibung vorhanden;Spaghetti mit Gemsepaste, Parmesan und Salatteller;J;Keine Zutaten vorhanden;;4;N;
309;Keine Beschreibung vorhanden;Rindergulasch mit Sauerkraut, Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
310;Keine Beschreibung vorhanden;Spargelcremesuppe;J;Keine Zutaten vorhanden;;1;N;
311;Keine Beschreibung vorhanden;Kaiserschmarrn mit Apfelkompott ;J;Keine Zutaten vorhanden;;4;N;
312;Keine Beschreibung vorhanden;Rindfleischbuletten mit Champignon-Rahmsoáe, Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
313;Keine Beschreibung vorhanden;Nudeln mit B„rlauchsoáe und Salatteller;J;Keine Zutaten vorhanden;;4;N;
95;Keine Beschreibung vorhanden;Senfeier mit Blattspinat und Salzkartoffeln;J;Keine Zutaten vorhanden;;4;N;
96;Keine Beschreibung vorhanden;Schweinegeschnetzeltes mit Bandnudeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
33;Keine Beschreibung vorhanden;Kleiner Salat;J;Keine Zutaten vorhanden;;1;J;16
34;Keine Beschreibung vorhanden;Groáer Salat;J;Keine Zutaten vorhanden;;2;J;16
49;Keine Beschreibung vorhanden;Hhnerbrhe;N;Keine Zutaten vorhanden;;1;N;
50;Keine Beschreibung vorhanden;Gefllte Kohlrabi in Petersiliensoáe mit Pilzen und Bandnudeln;J;Keine Zutaten vorhanden;;4;N;
97;Keine Beschreibung vorhanden;Zwiebelkuchen mit Kr„uterschmand und Salatteller;J;Keine Zutaten vorhanden;;4;N;
98;Keine Beschreibung vorhanden;H„hnchenbrust mit Paprikagemse und Reis;N;Keine Zutaten vorhanden;;5;N;
99;Keine Beschreibung vorhanden;"Blumenkohlsuppe				 ";J;Keine Zutaten vorhanden;;1;N;
100;Keine Beschreibung vorhanden;"Rosenkohl mit K„sesauce berbacken und Kartoffeln				 ";J;Keine Zutaten vorhanden;;4;N;
101;Keine Beschreibung vorhanden;Weiáer Bohneneintopf mit Rauchfleisch und Mettenden;N;Keine Zutaten vorhanden;;5;N;
102;Keine Beschreibung vorhanden;"Kaiserschmarren mit Pflaumen-Birnen-Kompott				 ";J;Keine Zutaten vorhanden;;4;N;
103;Keine Beschreibung vorhanden;"Rindfleisch in Merrettichsauce mit Wirsinggemse, Salzkartoffeln				 ";N;Keine Zutaten vorhanden;;5;N;
104;Keine Beschreibung vorhanden;"Zucchini-Maronensuppe				 ";J;Keine Zutaten vorhanden;;1;N;
137;Keine Beschreibung vorhanden;Brokkoli fritiert mit Bechamelkartoffeln ;J;Keine Zutaten vorhanden;;4;N;
149;Keine Beschreibung vorhanden;Schwarzwurzelsuppe;J;Keine Zutaten vorhanden;;1;N;
192;Keine Beschreibung vorhanden;Hhnerfrikassee mit Butterreis und Salatteller;N;Keine Zutaten vorhanden;;4;N;
193;Keine Beschreibung vorhanden;Linsenbratlinge mit Currydip und Salatteller;J;Keine Zutaten vorhanden;;4;N;
194;Keine Beschreibung vorhanden;Geflgeleintopf mit Wintergemse und Nudeln;N;Keine Zutaten vorhanden;;5;N;
195;Keine Beschreibung vorhanden;Gemsequiche mit Kr„uterschmand und Salatteller;J;Keine Zutaten vorhanden;;4;N;
196;Keine Beschreibung vorhanden;Rindfleischbuletten mit J„gersoáe, Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
199;Keine Beschreibung vorhanden;Paprikasuppe;J;Keine Zutaten vorhanden;;1;N;
200;Keine Beschreibung vorhanden;Seelachsfilet in Tomatensoáe, Reis und Salatteller ;N;Keine Zutaten vorhanden;;5;N;
201;Keine Beschreibung vorhanden;Sauerkrautsuppe;J;Keine Zutaten vorhanden;;1;N;
202;Keine Beschreibung vorhanden;Brokkolir”schen in Bechamelsoáe mit Tomaten und Thymiankartoffeln ;J;Keine Zutaten vorhanden;;4;N;
203;Keine Beschreibung vorhanden;Bratwurst mit Zwiebelsoáe, Grnkohl und Salzkartoffeln ;N;Keine Zutaten vorhanden;;5;N;
225;Keine Beschreibung vorhanden;Rindfleischsuppe;N;Keine Zutaten vorhanden;;1;N;
250;Keine Beschreibung vorhanden;Sellerie-Apfelsuppe;J;Keine Zutaten vorhanden;;1;N;
251;Keine Beschreibung vorhanden;Vanillemilchreis mit Zimt, Zucker und Sauerkirschen;J;Keine Zutaten vorhanden;;4;N;
252;Keine Beschreibung vorhanden;Bratwurstschnecke mit Rahmwirsing und Salzkartoffeln;N;Keine Zutaten vorhanden;;5;N;
314;Keine Beschreibung vorhanden;Safran Kohlrabi mit Rhrei und Bratkartoffeln;J;Keine Zutaten vorhanden;;4;N;
315;Keine Beschreibung vorhanden;Rahmgeschnetzeltes mit Sp„tzle und Salatteller;N;Keine Zutaten vorhanden;;5;N;
316;Keine Beschreibung vorhanden;Pizza mit Mozarella und Schinken, Salatteller;N;Keine Zutaten vorhanden;;5;N;
317;Keine Beschreibung vorhanden;Ratatouille Gemse mit Polentawrfeln und Salatteller;J;Keine Zutaten vorhanden;;4;N;
318;Keine Beschreibung vorhanden;Moussaka Rinderhack mit Gemse und Reis;N;Keine Zutaten vorhanden;;5;N;
319;Keine Beschreibung vorhanden;Pilzauflauf mit Graupen und Salatteller;J;Keine Zutaten vorhanden;;4;N;
320;Keine Beschreibung vorhanden;Rinderbratwurst mit Spitzkohlgemse und Salzkartoffeln;N;Keine Zutaten vorhanden;;5;N;
321;Keine Beschreibung vorhanden;Brokkoli im Feigenmantel mit Kartoffelecken, Fetak„se und Salatteller;J;Keine Zutaten vorhanden;;4;N;
322;Keine Beschreibung vorhanden;Erbsensuppe mit Mettenden und Siedewurst;N;Keine Zutaten vorhanden;;5;N;
323;Keine Beschreibung vorhanden;Gemsecurry mit Kartoffeln und Salatteller;J;Keine Zutaten vorhanden;;4;N;
324;Keine Beschreibung vorhanden;Falscher Hase mit Rindfleisch im Speckmantel, Bechamelkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
325;Keine Beschreibung vorhanden;Pizza mit gekochtem Schinken, Spargel, Pilzen und Salatteller;N;Keine Zutaten vorhanden;;5;N;
326;Keine Beschreibung vorhanden;Chili Nudeln mit Zuchinigemse und Salatteller;J;Keine Zutaten vorhanden;;4;N;
327;Keine Beschreibung vorhanden;Quiche mit Rindfleisch und Salami, Salatteller;N;Keine Zutaten vorhanden;;5;N;
328;Keine Beschreibung vorhanden;Gazpacho;J;Keine Zutaten vorhanden;;1;N;
329;Keine Beschreibung vorhanden;K„se-Zwiebelr”sti mit Kr„uterschmand und Salatteller;J;Keine Zutaten vorhanden;;4;N;
330;Keine Beschreibung vorhanden;Siedewrstchen mit Kartoffelsalat und Salatteller;N;Keine Zutaten vorhanden;;5;N;
331;Keine Beschreibung vorhanden;Spargel mit Soáe Hollandaise und Salzkartoffeln;J;Keine Zutaten vorhanden;;4;N;
332;Keine Beschreibung vorhanden;Pizza mit Shrimps;N;Keine Zutaten vorhanden;;5;N;
333;Keine Beschreibung vorhanden;Shrimpscocktail mit Pellkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
334;Keine Beschreibung vorhanden;Gebratene Zuchini mit Nusssoáe und Gemsereis;N;Keine Zutaten vorhanden;;4;N;
335;Keine Beschreibung vorhanden;Schweinenackensteak mit Pilzen, Pommes und Salatteller;N;Keine Zutaten vorhanden;;5;N;
336;Keine Beschreibung vorhanden;Spargelragout mit Gemserisotto und Salatteller;J;Keine Zutaten vorhanden;;5;N;
337;Keine Beschreibung vorhanden;Kassler mit Sauerkraut und Kartoffeln;N;Keine Zutaten vorhanden;;5;N;
338;Keine Beschreibung vorhanden;Zitronengrassuppe;J;Keine Zutaten vorhanden;;1;N;
339;Keine Beschreibung vorhanden;Bandnudeln mit B„rlauch-Pinienkernsoáe, Gemsestreifen und Salatteller;J;Keine Zutaten vorhanden;;5;N;
340;Keine Beschreibung vorhanden;Kidneybohneneintopf mit Rindfleisch und Mettenden ;N;Keine Zutaten vorhanden;;5;N;
341;Keine Beschreibung vorhanden;B„rlauchsuppe;J;Keine Zutaten vorhanden;;1;N;
342;Keine Beschreibung vorhanden;Gemse-Kartoffelkuchen in Eihlle mit B„rlauchschmand und Salatteller ;J;Keine Zutaten vorhanden;;5;N;
343;Keine Beschreibung vorhanden;Cordon Bleu mit Spargelgemse und Salzkartoffeln ;N;Keine Zutaten vorhanden;;5;N;
37;Keine Beschreibung vorhanden;Msli;J;Keine Zutaten vorhanden;;1;J;9
38;Keine Beschreibung vorhanden;Gekochtes Ei;N;Keine Zutaten vorhanden;;1;J;9
35;Keine Beschreibung vorhanden;Men 1 - Kleine Portion;N;Keine Zutaten vorhanden;;1;N;
36;Keine Beschreibung vorhanden;Men 1 - Groáe Portion;N;Keine Zutaten vorhanden;;3;N;
39;Keine Beschreibung vorhanden;Frhstck ohne Msli;N;Keine Zutaten vorhanden;;3;J;9
40;Keine Beschreibung vorhanden;Frhstck mit Msli;N;Keine Zutaten vorhanden;;3;J;9
41;Keine Beschreibung vorhanden;Zwiebelquiche mit Salatteller;J;Keine Zutaten vorhanden;;4;N;
42;Keine Beschreibung vorhanden;Rinderbrhe;N;Keine Zutaten vorhanden;;1;N;
43;Keine Beschreibung vorhanden;Kassler mit Sauerkraut und Kartoffelpree;N;Keine Zutaten vorhanden;;5;N;
44;Keine Beschreibung vorhanden;Pizza vegetarisch und Salatteller;J;Keine Zutaten vorhanden;;4;N;
45;Keine Beschreibung vorhanden;Pizza mit Parmaschinken und Salatteller;N;Keine Zutaten vorhanden;;5;N;
46;Keine Beschreibung vorhanden;Lachsschnitte in Schnittlauchsoáe mit Spinat und Kartoffeln;N;Keine Zutaten vorhanden;;5;N;
47;Keine Beschreibung vorhanden;Kohlrabicremesuppe;J;Keine Zutaten vorhanden;;1;N;
48;Keine Beschreibung vorhanden;Rindergeschnetzeltes mit Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
67;Keine Beschreibung vorhanden;Gebutterter Rosenkohl mit Maispolenta und Salatteller;J;Keine Zutaten vorhanden;;4;N;
68;Keine Beschreibung vorhanden;Bratwurst mit J„gersoáe, Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
69;Keine Beschreibung vorhanden;Gemserahmsuppe;J;Keine Zutaten vorhanden;;1;N;
70;Keine Beschreibung vorhanden;Omelette mit Mischpilzen, Kartoffelecken und Salatteller;J;Keine Zutaten vorhanden;;4;N;
71;Keine Beschreibung vorhanden;Karotteneintopf mit Mettenden;N;Keine Zutaten vorhanden;;5;N;
72;Keine Beschreibung vorhanden;Paprika-Krbissuppe;J;Keine Zutaten vorhanden;;1;N;
73;Keine Beschreibung vorhanden;H”rnchennudeln mit Gemsepasta und Salatteller;J;Keine Zutaten vorhanden;;4;N;
74;Keine Beschreibung vorhanden;Lammbraten mit Butterb”hnchen und Rosmarinkartoffeln ;N;Keine Zutaten vorhanden;;5;N;
75;Keine Beschreibung vorhanden;Kartoffel-Schinkensuppe;N;Keine Zutaten vorhanden;;1;N;
76;Keine Beschreibung vorhanden;Pizza mit Miesmuscheln und Schinken, Salatteller;N;Keine Zutaten vorhanden;;5;N;
77;Keine Beschreibung vorhanden;Fischschnitte grateniert in Kr„utersoáe mit Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
78;Keine Beschreibung vorhanden;Geflgelbrhe;N;Keine Zutaten vorhanden;;1;N;
79;Keine Beschreibung vorhanden;Krbischutney mit gebratenen Wildreistalern und Salatteller;J;Keine Zutaten vorhanden;;4;N;
80;Keine Beschreibung vorhanden;šberbackenes Schweinekotelett mit Mais, Bratkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
109;Keine Beschreibung vorhanden;Nudelsuppe;N;Keine Zutaten vorhanden;;1;N;
110;Keine Beschreibung vorhanden;"Gebackener Fetak„se mit Tomatensauce, Oliven-Kartoffelpree, Salatteller				 ";J;Keine Zutaten vorhanden;;4;N;
111;Keine Beschreibung vorhanden;"Spaghetti Bolognese mit Parmesan und Salatteller				 ";N;Keine Zutaten vorhanden;;4;N;
112;Keine Beschreibung vorhanden;"Sellerie-Kartoffelsuppe				 ";J;Keine Zutaten vorhanden;;1;N;
113;Keine Beschreibung vorhanden;"Gemsetaller mit Kr„uterdip, Salatteller				 ";J;Keine Zutaten vorhanden;;4;N;
114;Keine Beschreibung vorhanden;"Linsensuppe mit Mettenden und Siedewurst				 ";N;Keine Zutaten vorhanden;;5;N;
115;Keine Beschreibung vorhanden;"Zwiebelsuppe				 ";J;Keine Zutaten vorhanden;;1;N;
116;Keine Beschreibung vorhanden;"Pilzragout mit Bandnudeln, Salatteller				 ";J;Keine Zutaten vorhanden;;4;N;
117;Keine Beschreibung vorhanden;"Rinderbraten mit Buttergemse und Salzkartoffeln				 ";N;Keine Zutaten vorhanden;;5;N;
118;Keine Beschreibung vorhanden;"Fischfrikadelle mit Senfsauce, Salzkartoffeln, Salatteller				 ";N;Keine Zutaten vorhanden;;5;N;
119;Keine Beschreibung vorhanden;"Paprikaschote mit Cuscus-Tomatenfllung und K„se berbacken, Salatteller				 ";J;Keine Zutaten vorhanden;;4;N;
120;Keine Beschreibung vorhanden;"Lammragout mit Salzkartoffeln, Salatteller				 ";N;Keine Zutaten vorhanden;;5;N;
138;Keine Beschreibung vorhanden;Rindergulasch mit Spiralnudeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
139;Keine Beschreibung vorhanden;Champignon-Rahmsuppe;J;Keine Zutaten vorhanden;;1;N;
140;Keine Beschreibung vorhanden;Pizza mit Salami und Schinken, Salatteller;N;Keine Zutaten vorhanden;;5;N;
141;Keine Beschreibung vorhanden;Roter Heringstopf mit Pellkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
142;Keine Beschreibung vorhanden;Rinderfrikadelle mit Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
143;Keine Beschreibung vorhanden;Rosenkohl mit Sauce Hollandaise und Petersilienkartoffeln ;J;Keine Zutaten vorhanden;;0;N;
144;Keine Beschreibung vorhanden;Thaigemse mit Geflgel und Basmatireis, Salatteller;N;Keine Zutaten vorhanden;;0;N;
145;Keine Beschreibung vorhanden;Tortellinis mit Tomatensoáe und Salatteller;J;Keine Zutaten vorhanden;;4;N;
146;Keine Beschreibung vorhanden;Karotteneintopf mit durchw. Speck und Mettenden ;N;Keine Zutaten vorhanden;;5;N;
147;Keine Beschreibung vorhanden;Grnkohlr”stlinge mit Kressedip und Salatteller;J;Keine Zutaten vorhanden;;4;N;
148;Keine Beschreibung vorhanden;Rinderbraten mit Brokkoligemse und Salzkartoffeln;N;Keine Zutaten vorhanden;;5;N;
150;Keine Beschreibung vorhanden;Backfisch mit Remoulade, Kartoffelsalat und Salatteller;N;Keine Zutaten vorhanden;;5;N;
151;Keine Beschreibung vorhanden;Gnocchis mit Pilzen in Rahmsoáe, Salatteller;J;Keine Zutaten vorhanden;;4;N;
152;Keine Beschreibung vorhanden;Paprika gefllt mit Rinderhack, Tomatensoáe, Reis und Salatteller;N;Keine Zutaten vorhanden;;5;N;
176;Keine Beschreibung vorhanden;Bandnudeln mit Pilzen und K„se berbacken, Salatteller;J;Keine Zutaten vorhanden;;4;N;
177;Keine Beschreibung vorhanden;H„hnchenbrust mit Curry-Ananassoáe, Reis und Salatteller;N;Keine Zutaten vorhanden;;5;N;
178;Keine Beschreibung vorhanden;Ratatouille Gemse mit Kartoffelecken;J;Keine Zutaten vorhanden;;4;N;
179;Keine Beschreibung vorhanden;Spaghetti Carbonara mit Salatteller;N;Keine Zutaten vorhanden;;4;N;
180;Keine Beschreibung vorhanden;Gemser”stlinge mit Kartotten-Schmand Dip und Salatteller;J;Keine Zutaten vorhanden;;4;N;
181;Keine Beschreibung vorhanden;Roter Bohneneintopf mit Rindfleisch;N;Keine Zutaten vorhanden;;5;N;
182;Keine Beschreibung vorhanden;Hhnerbrhe mit Nudeln;J;Keine Zutaten vorhanden;;1;N;
53;Keine Beschreibung vorhanden;Brokkolicremesuppe;J;Keine Zutaten vorhanden;;1;N;
54;Keine Beschreibung vorhanden;Rheinische Reibekuchen mit Apfelkompott und Salatteller;J;Keine Zutaten vorhanden;;4;N;
51;Keine Beschreibung vorhanden;Pflaumen Pfannekuchen mit Frchtejoghurt;J;Keine Zutaten vorhanden;;4;N;
52;Keine Beschreibung vorhanden;Lasagne mit Tomatensoáe und Salatteller;N;Keine Zutaten vorhanden;;5;N;
55;Keine Beschreibung vorhanden;Erbsensuppe mit Siedewurst;N;Keine Zutaten vorhanden;;4;N;
56;Keine Beschreibung vorhanden;K„sesuppe;N;Keine Zutaten vorhanden;;1;N;
57;Keine Beschreibung vorhanden;Rinderleber mit Apfelkompott, Kartoffelpree und Salatteller;N;Keine Zutaten vorhanden;;5;N;
58;Keine Beschreibung vorhanden;Rahmwirsing mit Kartoffelgratine;J;Keine Zutaten vorhanden;;4;N;
59;Keine Beschreibung vorhanden;Pastinakensuppe;J;Keine Zutaten vorhanden;;1;N;
60;Keine Beschreibung vorhanden;Pizza mit gekochtem Schinken, Pilzen und Salatteller;N;Keine Zutaten vorhanden;;5;N;
61;Keine Beschreibung vorhanden;Forelle Mllerin Art mit Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
62;Keine Beschreibung vorhanden;Currysuppe;J;Keine Zutaten vorhanden;;1;N;
63;Keine Beschreibung vorhanden;Paprikagulasch mit Salzkartoffeln und Gurkensalat;N;Keine Zutaten vorhanden;;5;N;
64;Keine Beschreibung vorhanden;Brokkoligemse mit Nssen und Kroketten;J;Keine Zutaten vorhanden;;4;N;
65;Keine Beschreibung vorhanden;Lauchsuppe;J;Keine Zutaten vorhanden;;1;N;
66;Keine Beschreibung vorhanden;Tomatensuppe;J;Keine Zutaten vorhanden;;1;N;
81;Keine Beschreibung vorhanden;Pilzrahmsuppe;J;Keine Zutaten vorhanden;;1;N;
82;Keine Beschreibung vorhanden;Gemser”stlinge mit Gurkendip und Salatteller;J;Keine Zutaten vorhanden;;4;N;
83;Keine Beschreibung vorhanden;Rahmkohlrabi mit Dampfkartoffeln, Rinderfrikadelle und Salatteller;N;Keine Zutaten vorhanden;;5;N;
158;Keine Beschreibung vorhanden;Krbissuppe mit Sellerie;J;Keine Zutaten vorhanden;;1;N;
159;Keine Beschreibung vorhanden;Penne-Nudeln mit Paprika, Spinat und Arrabiatasauce, Salatteller;J;Keine Zutaten vorhanden;;4;N;
160;Keine Beschreibung vorhanden;Wildschweinragout mit Pilzen, Kroketten und Feldsalat;N;Keine Zutaten vorhanden;;5;N;
161;Keine Beschreibung vorhanden;Pizza mit Schweinefilet, Salatteller;N;Keine Zutaten vorhanden;;5;N;
162;Keine Beschreibung vorhanden;Kabeljau in Senfsoáe, Salzkartoffeln und Salatteller;N;Keine Zutaten vorhanden;;5;N;
163;Keine Beschreibung vorhanden;Kichererbsensuppe;J;Keine Zutaten vorhanden;;1;N;
164;Keine Beschreibung vorhanden;Gep”ckeltes Schweinefleisch mit Sauerkraut und Kartoffelpree;N;Keine Zutaten vorhanden;;5;N;
165;Keine Beschreibung vorhanden;Saitlingrahmsuppe;J;Keine Zutaten vorhanden;;1;N;
166;Keine Beschreibung vorhanden;Krbis-Blumenkohlgratine mit H”rnchennudeln und Salatteller;J;Keine Zutaten vorhanden;;4;N;
167;Keine Beschreibung vorhanden;Rinderhackbraten mit Rahmkohlrabie und Salzkartoffeln ;N;Keine Zutaten vorhanden;;5;N;
168;Keine Beschreibung vorhanden;Suppe mit Bergk„se;J;Keine Zutaten vorhanden;;1;N;
169;Keine Beschreibung vorhanden;Zuchini-Tomatenauflauf und Curryreis, Salatteller;J;Keine Zutaten vorhanden;;4;N;
170;Keine Beschreibung vorhanden;Gemsetopf mit Tafelspitz und Mettenden ;N;Keine Zutaten vorhanden;;5;N;
171;Keine Beschreibung vorhanden;Gelbe Paprikasuppe;J;Keine Zutaten vorhanden;;1;N;
172;Keine Beschreibung vorhanden;Schwarzwurzelgemse mit Saitling Pilz, Risottoreis und Salatteller;J;Keine Zutaten vorhanden;;4;N;
173;Keine Beschreibung vorhanden;Sauerbraten mit Apfelrotkohl und Salzkartoffeln ;N;Keine Zutaten vorhanden;;5;N;
174;Keine Beschreibung vorhanden;Pizza mit Shrimps und Schinken, Salatteller;N;Keine Zutaten vorhanden;;5;N;
