TAGE_ID;TAGE_GERI_ID;TAGE_TATY_ID;TAGE_DATUM;TAGE_GESPERRT_KNZ;TAGE_PREIS;ERFASST_VON;ERFASST_AM;GEAENDERT_VON;GEAENDERT_AM;BEMERKUNG
1.666;155;12;12.12.2012 00:00:00;J;1;JMA;;JMA;12.10.2012 00:00:00;
1.667;156;10;12.12.2012 00:00:00;J;4;JMA;;JMA;12.10.2012 00:00:00;
1.668;157;11;12.12.2012 00:00:00;J;5;JMA;;JMA;12.10.2012 00:00:00;
1.669;158;12;12.13.2012 00:00:00;J;1;JMA;;JMA;12.10.2012 00:00:00;
1.670;159;10;12.13.2012 00:00:00;J;4;JMA;;JMA;12.10.2012 00:00:00;
1.671;160;11;12.13.2012 00:00:00;J;5;JMA;;JMA;12.10.2012 00:00:00;
1.672;66;12;12.14.2012 00:00:00;J;1;JMA;;JMA;12.10.2012 00:00:00;
1.673;44;10;12.14.2012 00:00:00;J;4;JMA;;JMA;12.10.2012 00:00:00;
1.674;161;10;12.14.2012 00:00:00;J;5;JMA;;JMA;12.10.2012 00:00:00;
1.675;162;11;12.14.2012 00:00:00;J;5;JMA;;JMA;12.10.2012 00:00:00;
1.679;164;11;12.17.2012 00:00:00;J;5;JMA;;JMA;12.10.2012 00:00:00;
1.677;163;12;12.17.2012 00:00:00;J;1;JMA;;JMA;12.10.2012 00:00:00;
1.678;121;10;12.17.2012 00:00:00;J;4;JMA;;JMA;12.10.2012 00:00:00;
1.680;93;15;12.18.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.681;94;15;12.18.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.682;33;16;12.18.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.683;34;16;12.18.2012 00:00:00;J;2;JMA;;JMA;12.14.2012 00:00:00;
1.684;37;9;12.18.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.685;38;9;12.18.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.686;35;15;12.18.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.687;36;15;12.18.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.688;39;9;12.18.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.689;40;9;12.18.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.690;93;15;12.19.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.691;94;15;12.19.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.692;33;16;12.19.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.693;34;16;12.19.2012 00:00:00;J;2;JMA;;JMA;12.14.2012 00:00:00;
1.694;37;9;12.19.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.695;38;9;12.19.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.696;35;15;12.19.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.697;36;15;12.19.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.698;39;9;12.19.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.699;40;9;12.19.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.700;93;15;12.20.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.701;94;15;12.20.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.702;33;16;12.20.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.703;34;16;12.20.2012 00:00:00;J;2;JMA;;JMA;12.14.2012 00:00:00;
1.704;37;9;12.20.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.705;38;9;12.20.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.706;35;15;12.20.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.707;36;15;12.20.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.708;39;9;12.20.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.709;40;9;12.20.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.710;93;15;12.21.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.711;94;15;12.21.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.712;33;16;12.21.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.713;34;16;12.21.2012 00:00:00;J;2;JMA;;JMA;12.14.2012 00:00:00;
1.714;37;9;12.21.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.715;38;9;12.21.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.716;35;15;12.21.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.717;36;15;12.21.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.718;39;9;12.21.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.719;40;9;12.21.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.720;93;15;12.24.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.721;94;15;12.24.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.722;33;16;12.24.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.723;34;16;12.24.2012 00:00:00;J;2;JMA;;JMA;12.14.2012 00:00:00;
1.724;37;9;12.24.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.725;38;9;12.24.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.726;35;15;12.24.2012 00:00:00;J;1;JMA;;JMA;12.14.2012 00:00:00;
1.727;36;15;12.24.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.728;39;9;12.24.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
1.729;40;9;12.24.2012 00:00:00;J;3;JMA;;JMA;12.14.2012 00:00:00;
2.675;93;15;04.23.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.676;94;15;04.23.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.677;33;16;04.23.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.678;34;16;04.23.2013 00:00:00;J;2;JMA;;JMA;04.19.2013 00:00:00;
2.679;37;9;04.23.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.680;38;9;04.23.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.681;35;15;04.23.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.682;36;15;04.23.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.683;39;9;04.23.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.684;40;9;04.23.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.685;93;15;04.24.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.686;94;15;04.24.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.687;33;16;04.24.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.688;34;16;04.24.2013 00:00:00;J;2;JMA;;JMA;04.19.2013 00:00:00;
2.689;37;9;04.24.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.690;38;9;04.24.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.691;35;15;04.24.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.692;36;15;04.24.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
1.048;41;10;10.04.2012 00:00:00;J;4;esc;;esc;10.02.2012 00:00:00;
1.049;43;11;10.04.2012 00:00:00;J;5;esc;;esc;10.02.2012 00:00:00;
2.693;39;9;04.24.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.694;40;9;04.24.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.695;93;15;04.25.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.696;94;15;04.25.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.697;33;16;04.25.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.698;34;16;04.25.2013 00:00:00;J;2;JMA;;JMA;04.19.2013 00:00:00;
2.699;37;9;04.25.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.700;38;9;04.25.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.701;35;15;04.25.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.702;36;15;04.25.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.703;39;9;04.25.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.704;40;9;04.25.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.705;93;15;04.26.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.706;94;15;04.26.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.707;33;16;04.26.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.708;34;16;04.26.2013 00:00:00;J;2;JMA;;JMA;04.19.2013 00:00:00;
2.709;37;9;04.26.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.710;38;9;04.26.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.711;35;15;04.26.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.712;36;15;04.26.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.713;39;9;04.26.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.714;40;9;04.26.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.715;93;15;04.29.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.716;94;15;04.29.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.717;33;16;04.29.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.718;34;16;04.29.2013 00:00:00;J;2;JMA;;JMA;04.19.2013 00:00:00;
2.719;37;9;04.29.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.720;38;9;04.29.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.721;35;15;04.29.2013 00:00:00;J;1;JMA;;JMA;04.19.2013 00:00:00;
2.722;36;15;04.29.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.723;39;9;04.29.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.724;40;9;04.29.2013 00:00:00;J;3;JMA;;JMA;04.19.2013 00:00:00;
2.770;40;9;05.03.2013 00:00:00;J;3;JMA;;JMA;04.26.2013 00:00:00;
2.771;93;15;05.06.2013 00:00:00;J;3;JMA;;JMA;04.26.2013 00:00:00;
2.772;94;15;05.06.2013 00:00:00;J;1;JMA;;JMA;04.26.2013 00:00:00;
2.773;33;16;05.06.2013 00:00:00;J;1;JMA;;JMA;04.26.2013 00:00:00;
2.774;34;16;05.06.2013 00:00:00;J;2;JMA;;JMA;04.26.2013 00:00:00;
2.775;37;9;05.06.2013 00:00:00;J;1;JMA;;JMA;04.26.2013 00:00:00;
2.776;38;9;05.06.2013 00:00:00;J;1;JMA;;JMA;04.26.2013 00:00:00;
2.777;35;15;05.06.2013 00:00:00;J;1;JMA;;JMA;04.26.2013 00:00:00;
2.778;36;15;05.06.2013 00:00:00;J;3;JMA;;JMA;04.26.2013 00:00:00;
2.779;39;9;05.06.2013 00:00:00;J;3;JMA;;JMA;04.26.2013 00:00:00;
2.780;40;9;05.06.2013 00:00:00;J;3;JMA;;JMA;04.26.2013 00:00:00;
2.877;37;9;05.17.2013 00:00:00;J;1;TAM;;TAM;05.08.2013 00:00:00;
2.878;38;9;05.17.2013 00:00:00;J;1;TAM;;TAM;05.08.2013 00:00:00;
2.879;35;15;05.17.2013 00:00:00;J;1;TAM;;TAM;05.08.2013 00:00:00;
1.058;33;16;10.09.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.059;34;16;10.09.2012 00:00:00;J;2;esc;;esc;10.05.2012 00:00:00;
1.060;37;9;10.09.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.061;38;9;10.09.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.062;35;15;10.09.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.063;36;15;10.09.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.064;39;9;10.09.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.065;40;9;10.09.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.066;33;16;10.10.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.067;34;16;10.10.2012 00:00:00;J;2;esc;;esc;10.05.2012 00:00:00;
1.068;37;9;10.10.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.069;38;9;10.10.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.070;35;15;10.10.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.071;36;15;10.10.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.072;39;9;10.10.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.073;40;9;10.10.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.074;33;16;10.11.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.075;34;16;10.11.2012 00:00:00;J;2;esc;;esc;10.05.2012 00:00:00;
1.076;37;9;10.11.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.077;38;9;10.11.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.078;35;15;10.11.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.079;36;15;10.11.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.080;39;9;10.11.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.081;40;9;10.11.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.082;33;16;10.12.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.083;34;16;10.12.2012 00:00:00;J;2;esc;;esc;10.05.2012 00:00:00;
1.084;37;9;10.12.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.085;38;9;10.12.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.086;35;15;10.12.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.087;36;15;10.12.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.088;39;9;10.12.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.089;40;9;10.12.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.090;33;16;10.15.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.091;34;16;10.15.2012 00:00:00;J;2;esc;;esc;10.05.2012 00:00:00;
1.092;37;9;10.15.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.093;38;9;10.15.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.094;35;15;10.15.2012 00:00:00;J;1;esc;;esc;10.05.2012 00:00:00;
1.095;36;15;10.15.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.096;39;9;10.15.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
1.097;40;9;10.15.2012 00:00:00;J;3;esc;;esc;10.05.2012 00:00:00;
2.145;93;15;02.12.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.146;94;15;02.12.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.147;33;16;02.12.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.148;34;16;02.12.2013 00:00:00;J;2;TAM;;TAM;02.08.2013 00:00:00;
2.149;37;9;02.12.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.150;38;9;02.12.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.151;35;15;02.12.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.152;36;15;02.12.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.153;39;9;02.12.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.154;40;9;02.12.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.155;93;15;02.13.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.156;94;15;02.13.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.157;33;16;02.13.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.158;34;16;02.13.2013 00:00:00;J;2;TAM;;TAM;02.08.2013 00:00:00;
2.159;37;9;02.13.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.160;38;9;02.13.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.161;35;15;02.13.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.162;36;15;02.13.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.163;39;9;02.13.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.164;40;9;02.13.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.165;93;15;02.14.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.166;94;15;02.14.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.167;33;16;02.14.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.168;34;16;02.14.2013 00:00:00;J;2;TAM;;TAM;02.08.2013 00:00:00;
2.169;37;9;02.14.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.170;38;9;02.14.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.171;35;15;02.14.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.172;36;15;02.14.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.173;39;9;02.14.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.174;40;9;02.14.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.175;93;15;02.15.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.176;94;15;02.15.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.177;33;16;02.15.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.178;34;16;02.15.2013 00:00:00;J;2;TAM;;TAM;02.08.2013 00:00:00;
2.179;37;9;02.15.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.180;38;9;02.15.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.181;35;15;02.15.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.182;36;15;02.15.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.183;39;9;02.15.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.184;40;9;02.15.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.185;93;15;02.18.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.186;94;15;02.18.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.187;33;16;02.18.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.188;34;16;02.18.2013 00:00:00;J;2;TAM;;TAM;02.08.2013 00:00:00;
2.189;37;9;02.18.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.190;38;9;02.18.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.191;35;15;02.18.2013 00:00:00;J;1;TAM;;TAM;02.08.2013 00:00:00;
2.192;36;15;02.18.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.193;39;9;02.18.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.194;40;9;02.18.2013 00:00:00;J;3;TAM;;TAM;02.08.2013 00:00:00;
2.781;328;12;04.30.2013 00:00:00;J;1;JMA;;JMA;04.26.2013 00:00:00;
2.782;329;10;04.30.2013 00:00:00;J;4;JMA;;JMA;04.26.2013 00:00:00;
2.783;330;11;04.30.2013 00:00:00;J;5;JMA;;JMA;04.26.2013 00:00:00;
2.784;90;12;05.02.2013 00:00:00;J;1;JMA;;JMA;04.26.2013 00:00:00;
2.785;331;10;05.02.2013 00:00:00;J;4;JMA;;JMA;04.26.2013 00:00:00;
2.786;217;11;05.02.2013 00:00:00;J;4;JMA;;JMA;04.26.2013 00:00:00;
2.787;155;12;05.03.2013 00:00:00;J;1;JMA;;JMA;04.26.2013 00:00:00;
2.788;44;10;05.03.2013 00:00:00;J;4;JMA;;JMA;04.26.2013 00:00:00;
2.789;332;10;05.03.2013 00:00:00;J;5;JMA;;JMA;04.26.2013 00:00:00;
2.790;333;11;05.03.2013 00:00:00;J;5;JMA;;JMA;04.26.2013 00:00:00;
2.791;310;12;05.06.2013 00:00:00;J;1;JMA;;JMA;04.26.2013 00:00:00;
2.792;334;10;05.06.2013 00:00:00;J;4;JMA;;JMA;04.26.2013 00:00:00;
2.793;335;11;05.06.2013 00:00:00;J;5;JMA;;JMA;04.26.2013 00:00:00;
2.906;93;15;05.21.2013 00:00:00;J;3;JMA;;JMA;05.17.2013 00:00:00;
2.907;94;15;05.21.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.908;33;16;05.21.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.909;34;16;05.21.2013 00:00:00;J;2;JMA;;JMA;05.17.2013 00:00:00;
2.910;37;9;05.21.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.911;38;9;05.21.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.912;35;15;05.21.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.913;36;15;05.21.2013 00:00:00;J;3;JMA;;JMA;05.17.2013 00:00:00;
2.914;39;9;05.21.2013 00:00:00;J;3;JMA;;JMA;05.17.2013 00:00:00;
2.915;40;9;05.21.2013 00:00:00;J;3;JMA;;JMA;05.17.2013 00:00:00;
2.916;93;15;05.22.2013 00:00:00;J;3;JMA;;JMA;05.17.2013 00:00:00;
2.917;94;15;05.22.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.918;33;16;05.22.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.919;34;16;05.22.2013 00:00:00;J;2;JMA;;JMA;05.17.2013 00:00:00;
2.920;37;9;05.22.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.921;38;9;05.22.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.922;35;15;05.22.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.923;36;15;05.22.2013 00:00:00;J;3;JMA;;JMA;05.17.2013 00:00:00;
2.924;39;9;05.22.2013 00:00:00;J;3;JMA;;JMA;05.17.2013 00:00:00;
2.925;40;9;05.22.2013 00:00:00;J;3;JMA;;JMA;05.17.2013 00:00:00;
2.926;93;15;05.23.2013 00:00:00;J;3;JMA;;JMA;05.17.2013 00:00:00;
2.927;94;15;05.23.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.928;33;16;05.23.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.929;34;16;05.23.2013 00:00:00;J;2;JMA;;JMA;05.17.2013 00:00:00;
2.930;37;9;05.23.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
2.931;38;9;05.23.2013 00:00:00;J;1;JMA;;JMA;05.17.2013 00:00:00;
